日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值
2020-11-10,'600519,贵州茅台,1745.0,1764.48,1736.0,1752.92,1742.57,2.43,0.1394,0.2403,3018944,5287968173.0,2.192065161e+12,2.192065161e+12
2020-11-09,'600519,贵州茅台,1742.57,1750.68,1700.62,1701.38,1700.62,41.95,2.4667,0.3301,4146970,7198679683.0,2.18901260035e+12,2.18901260035e+12
2020-11-06,'600519,贵州茅台,1700.62,1731.59,1690.0,1730.55,1721.9,-21.28,-1.2358,0.1835,2305153,3932702367.0,2.13631510264e+12,2.13631510264e+12
2020-11-05,'600519,贵州茅台,1721.9,1732.48,1712.1,1717.0,1699.58,22.32,1.3133,0.1873,2352414,4053043271.0,2.16304699182e+12,2.16304699182e+12
2020-11-04,'600519,贵州茅台,1699.58,1704.0,1685.0,1700.0,1695.0,4.58,0.2702,0.1309,1644371,2788396253.0,2.13500865692e+12,2.13500865692e+12
2020-11-03,'600519,贵州茅台,1695.0,1705.9,1675.5,1684.99,1674.01,20.99,1.2539,0.1871,2349749,3976621208.0,2.129255271e+12,2.129255271e+12
2020-11-02,'600519,贵州茅台,1674.01,1695.0,1672.0,1675.0,1670.02,3.99,0.2389,0.1677,2106643,3544422245.0,2.10288767918e+12,2.10288767918e+12
2020-10-30,'600519,贵州茅台,1670.02,1696.0,1665.0,1678.0,1676.0,-5.98,-0.3568,0.2074,2605545,4379602068.0,2.09787544996e+12,2.09787544996e+12
2020-10-29,'600519,贵州茅台,1676.0,1708.0,1647.0,1654.84,1664.81,11.19,0.6721,0.3134,3937376,6633168613.0,2.1053875128e+12,2.1053875128e+12
2020-10-28,'600519,贵州茅台,1664.81,1677.0,1625.08,1626.0,1625.0,39.81,2.4498,0.2757,3463653,5739452181.0,2.09133065942e+12,2.09133065942e+12
2020-10-27,'600519,贵州茅台,1625.0,1644.0,1616.12,1643.0,1643.0,-18.0,-1.0956,0.3498,4394440,7156688307.0,2.041321425e+12,2.041321425e+12
2020-10-26,'600519,贵州茅台,1643.0,1662.92,1600.0,1619.0,1715.33,-72.33,-4.2167,0.5255,6601529,10821908227.0,2.0639329854e+12,2.0639329854e+12
2020-10-23,'600519,贵州茅台,1715.33,1747.59,1714.0,1740.78,1742.5,-27.17,-1.5593,0.1536,1929169,3339987454.0,2.15479377227e+12,2.15479377227e+12
2020-10-22,'600519,贵州茅台,1742.5,1745.0,1715.51,1730.0,1733.33,9.17,0.529,0.179,2248087,3897729793.0,2.1889246665e+12,2.1889246665e+12
2020-10-21,'600519,贵州茅台,1733.33,1742.15,1723.0,1734.1,1734.0,-0.67,-0.0386,0.1505,1890137,3275357440.0,2.17740533267e+12,2.17740533267e+12
2020-10-20,'600519,贵州茅台,1734.0,1734.97,1695.0,1699.99,1699.0,35.0,2.06,0.2208,2773493,4787807536.0,2.1782469852e+12,2.1782469852e+12
2020-10-19,'600519,贵州茅台,1699.0,1733.98,1691.9,1725.0,1712.0,-13.0,-0.7593,0.1531,1922632,3284383415.0,2.1342800622e+12,2.1342800622e+12
2020-10-16,'600519,贵州茅台,1712.0,1734.58,1703.0,1725.0,1725.0,-13.0,-0.7536,0.1383,1737738,2991246892.0,2.1506106336e+12,2.1506106336e+12
2020-10-15,'600519,贵州茅台,1725.0,1735.0,1721.0,1721.13,1729.0,-4.0,-0.2313,0.129,1620436,2801250556.0,2.166941205e+12,2.166941205e+12
2020-10-14,'600519,贵州茅台,1729.0,1746.98,1726.0,1740.0,1739.0,-10.0,-0.575,0.163,2048139,3554316589.0,2.1719659962e+12,2.1719659962e+12
2020-10-13,'600519,贵州茅台,1739.0,1750.62,1735.0,1750.62,1750.61,-11.61,-0.6632,0.1826,2294389,3995560518.0,2.1845279742e+12,2.1845279742e+12
2020-10-12,'600519,贵州茅台,1750.61,1750.61,1700.0,1700.0,1696.0,54.61,3.2199,0.3481,4372904,7597987786.0,2.19911243066e+12,2.19911243066e+12
2020-10-09,'600519,贵州茅台,1696.0,1706.42,1688.0,1692.0,1668.5,27.5,1.6482,0.2726,3423988,5817280605.0,2.1305114688e+12,2.1305114688e+12
2020-09-30,'600519,贵州茅台,1668.5,1691.9,1660.0,1660.0,1652.3,16.2,0.9805,0.2156,2708781,4536012540.0,2.0959660293e+12,2.0959660293e+12
2020-09-29,'600519,贵州茅台,1652.3,1669.4,1652.3,1669.33,1661.0,-8.7,-0.5238,0.1388,1743078,2895081366.0,2.07561562494e+12,2.07561562494e+12
2020-09-28,'600519,贵州茅台,1661.0,1668.5,1635.19,1635.19,1635.11,25.89,1.5834,0.1929,2423222,4019640150.0,2.0865445458e+12,2.0865445458e+12
2020-09-25,'600519,贵州茅台,1635.11,1650.0,1625.0,1630.0,1629.32,5.79,0.3554,0.1798,2258296,3700843486.0,2.05402158476e+12,2.05402158476e+12
2020-09-24,'600519,贵州茅台,1629.32,1658.88,1626.8,1635.97,1649.98,-20.66,-1.2521,0.2392,3005078,4915392273.0,2.0467481995e+12,2.0467481995e+12
2020-09-23,'600519,贵州茅台,1649.98,1666.01,1621.02,1635.0,1665.69,-15.71,-0.9432,0.2844,3572552,5878691069.0,2.07270124604e+12,2.07270124604e+12
2020-09-22,'600519,贵州茅台,1665.69,1686.98,1650.0,1650.0,1666.8,-1.11,-0.0666,0.1852,2326547,3890070212.0,2.09243611348e+12,2.09243611348e+12
2020-09-21,'600519,贵州茅台,1666.8,1692.76,1666.66,1692.76,1695.0,-28.2,-1.6637,0.1787,2244407,3756765108.0,2.09383049304e+12,2.09383049304e+12
2020-09-18,'600519,贵州茅台,1695.0,1695.0,1635.01,1665.0,1670.52,24.48,1.4654,0.3757,4720140,7853673241.0,2.129255271e+12,2.129255271e+12
2020-09-17,'600519,贵州茅台,1670.52,1700.0,1658.0,1700.0,1725.1,-54.58,-3.1639,0.5069,6367985,10683350187.0,2.09850354886e+12,2.09850354886e+12
2020-09-16,'600519,贵州茅台,1725.1,1764.81,1719.0,1760.0,1760.0,-34.9,-1.983,0.1792,2251598,3916457762.0,2.16706682478e+12,2.16706682478e+12
2020-09-15,'600519,贵州茅台,1760.0,1769.99,1747.75,1769.99,1766.0,-6.0,-0.3398,0.1657,2082087,3654872009.0,2.210908128e+12,2.210908128e+12
2020-09-14,'600519,贵州茅台,1766.0,1769.0,1730.58,1745.0,1733.0,33.0,1.9042,0.2472,3105601,5448188995.0,2.2184453148e+12,2.2184453148e+12
2020-09-11,'600519,贵州茅台,1733.0,1736.0,1688.0,1688.0,1705.8,27.2,1.5946,0.2475,3108800,5339883408.0,2.1769907874e+12,2.1769907874e+12
2020-09-10,'600519,贵州茅台,1705.8,1720.0,1700.0,1703.74,1688.0,17.8,1.0545,0.1972,2477833,4236694402.0,2.14282220724e+12,2.14282220724e+12
2020-09-09,'600519,贵州茅台,1688.0,1711.0,1680.04,1699.67,1711.4,-23.4,-1.3673,0.2067,2596355,4401806095.0,2.1204618864e+12,2.1204618864e+12
2020-09-08,'600519,贵州茅台,1711.4,1737.8,1677.07,1732.0,1723.5,-12.1,-0.7021,0.2744,3447238,5865962724.0,2.14985691492e+12,2.14985691492e+12
2020-09-07,'600519,贵州茅台,1723.5,1777.99,1703.97,1760.0,1770.0,-46.5,-2.6271,0.2477,3111202,5446354619.0,2.1650569083e+12,2.1650569083e+12
2020-09-04,'600519,贵州茅台,1770.0,1776.99,1746.0,1766.0,1793.0,-23.0,-1.2828,0.2456,3085796,5433479408.0,2.223470106e+12,2.223470106e+12
2020-09-03,'600519,贵州茅台,1793.0,1812.0,1779.7,1795.0,1795.0,-2.0,-0.1114,0.2423,3043735,5471333880.0,2.2523626554e+12,2.2523626554e+12
